MSOA code,house price
E02003979,210000 
E02003980,82500 
E02003981,120000 
E02003982,195000 
E02003983,85000 
E02003984,58375 
E02003985,118000 
E02003986,100000 
E02002615,133000 
E02002616,161000 
E02002617,80000 
E02002618,115000 
E02002619,87000 
E02002620,89056 
E02002621,81000 
E02002622,75000 
E02002623,70000 
E02002624,193995 
E02002625,133000 
E02002626,116500 
E02002627,154000 
E02002628,90000 
E02002629,75000 
E02002630,88300 
E02002631,135000 
E02002632,220000 
E02002633,124950 
E02002634,123750 
E02002635,134500 
E02002636,110000 
E02002637,122000 
E02002638,93000 
E02002639,79000 
E02002640,73750 
E02002641,105000 
E02002642,72000 
E02002643,89000 
E02002644,115000 
E02002645,90000 
E02002646,120000 
E02002647,88750 
E02002648,95000 
E02002649,130000 
E02002650,145000 
E02002651,132975 
E02000984,221000 
E02000985,209250 
E02000986,148000 
E02000987,120000 
E02000988,115000 
E02000989,185000 
E02000990,185500 
E02000991,118500 
E02000992,185000 
E02000993,158000 
E02000994,86000 
E02000995,183000 
E02000996,102500 
E02000997,213500 
E02000998,74500 
E02000999,75000 
E02001000,99500 
E02001001,142500 
E02001002,129950 
E02001003,243000 
E02001004,75000 
E02001005,90000 
E02001006,90000 
E02001007,145750 
E02001008,86500 
E02001009,124500 
E02001010,88875 
E02001011,174250 
E02001012,125000 
E02001013,187500 
E02001014,128000 
E02001015,105000 
E02001016,119998 
E02001017,130000 
E02001018,156000 
E02005176,112750 
E02005177,62000 
E02005178,46732 
E02005179,71000 
E02005180,140125 
E02005181,80000 
E02005182,56750 
E02005183,119500 
E02005184,175000 
E02005185,62000 
E02005186,139995 
E02006881,101498 
E02001019,170000 
E02001020,270000 
E02001021,207500 
E02001022,175000 
E02001023,192500 
E02001024,175000 
E02001025,123000 
E02001026,92000 
E02001027,124000 
E02001028,224975 
E02001029,132700 
E02001030,220000 
E02001031,150000 
E02001032,138750 
E02001033,130000 
E02001034,105000 
E02001035,219000 
E02001036,150750 
E02001037,235000 
E02001038,171000 
E02001039,170000 
E02001040,200000 
E02001041,195000 
E02001042,210000 
E02001043,205000 
E02001044,255000 
E02003987,160000 
E02003988,180000 
E02003989,169000 
E02003990,180250 
E02003991,165000 
E02003992,100000 
E02003993,236250 
E02003994,95000 
E02003995,112000 
E02003996,86875 
E02003997,91250 
E02003998,110000 
E02003999,182725 
E02003853,287500 
E02003854,340000 
E02003855,320000 
E02003856,297498 
E02003857,345000 
E02003858,480000 
E02003859,397917 
E02003860,450000 
E02003861,315000 
E02003863,425000 
E02003862,635000 
E02003864,522500 
E02003865,257000 
E02003866,270250 
E02003867,223500 
E02003868,178500 
E02003869,245000 
E02003870,160000 
E02003871,195000 
E02003872,343500 
E02003873,198975 
E02003811,339995 
E02003812,300000 
E02003813,178000 
E02003814,190000 
E02003815,158000 
E02003816,200000 
E02003817,220000 
E02003818,255250 
E02003819,235995 
E02003820,229973 
E02003821,185000 
E02003822,251995 
E02003825,157500 
E02003826,139000 
E02003827,105000 
E02003828,120500 
E02003829,137000 
E02003830,102000 
E02003823,183250 
E02003831,239975 
E02003824,233498 
E02003832,114000 
E02003833,155000 
E02003834,125000 
E02003835,235000 
E02003836,185000 
E02003838,222995 
E02003837,274995 
E02003839,202750 
E02003840,360000 
E02003841,252500 
E02003874,215750 
E02003875,311500 
E02003842,334950 
E02003843,148000 
E02003844,210000 
E02003845,151995 
E02003846,115250 
E02003847,214000 
E02003848,132500 
E02003849,135000 
E02003876,147373 
E02003850,168000 
E02003851,199973 
E02003877,205000 
E02003852,175000 
E02003878,230000 
E02003879,199995 
E02003880,155000 
E02003881,133825 
E02003882,160500 
E02003794,170000 
E02003883,314000 
E02003884,277500 
E02003795,270000 
E02003885,274995 
E02003796,236000 
E02003797,255000 
E02003798,128000 
E02003800,287000 
E02003799,130500 
E02003801,241250 
E02003802,155000 
E02003803,190000 
E02003886,140000 
E02003804,210000 
E02003887,180000 
E02003888,121750 
E02003805,335000 
E02003889,148495 
E02003806,279995 
E02003890,206995 
E02003807,282500 
E02003808,177000 
E02003891,365000 
E02003809,381250 
E02003810,315000 
E02005189,135500 
E02005190,200000 
E02005191,221498 
E02005192,249975 
E02005193,202500 
E02005194,129998 
E02005195,235500 
E02005196,179498 
E02005197,123700 
E02005198,130000 
E02005199,218250 
E02005200,139950 
E02005201,154000 
E02005202,170975 
E02004000,100000 
E02004001,129950 
E02004002,142000 
E02004003,115000 
E02004004,116500 
E02004005,100000 
E02004006,168500 
E02004007,103000 
E02004008,227500 
E02004009,252000 
E02004010,145000 
E02004011,222973 
E02004012,285000 
E02004013,194950 
E02004014,200000 
E02005203,222500 
E02005204,191498 
E02005205,197500 
E02005206,161000 
E02005207,234000 
