MSOA Code,Cases1,Cases2,Cases3,NUK,O65,Bame,HP,OO,OML,SR,PR,NP,Density,Geo,IMD,Health,Income,AS,Employment,Education,Crime,Environment
E02000030,595.3,1006.2,1774.7,24.08543264,0.131837901,0.249726177,750000,42.5,35.2,11.3,8.9,4.2,56.08902077,0.514666667,13.11483333,-1.298333333,0.075333333,0.2215,0.0585,5.548166667,0.3065,15.58233333
E02000031,420,1043.8,1680.2,33.60296134,0.229520615,0.284206197,641000,38.3,29.1,8.2,22.5,2.8,6.338569175,-0.2062,9.03,-1.4332,0.066,0.1916,0.0474,3.005,-0.1232,17.9312
E02000032,386,1312.6,2522.2,32.37877052,0.206339104,0.32289678,648500,42.4,43.4,3,10.2,1.6,40.51572976,-0.321,8.332,-1.5296,0.0678,0.2178,0.048,3.5218,-0.3076,19.1448
E02000033,134.8,1067.1,2010.5,29.55370739,0.186076438,0.309827808,498000,30.8,36,14,15.7,2.4,55.58655222,-0.3484,18.0588,-0.8428,0.1302,0.2636,0.0984,12.0886,-0.0462,16.7374
E02000034,310.1,887.1,1688.7,32.54583921,0.153431428,0.292783263,475000,29.9,34.4,9.8,23.8,1.8,50.1295045,-0.3554,12.4586,-1.258,0.0996,0.2086,0.0628,3.984,-0.0978,22.5868
E02000035,352.6,848.2,1134.7,41.64469554,0.160752458,0.360703076,492500,28.1,27.5,12.9,29.3,3,60.05134788,-0.11,13.2526,-1.1504,0.1064,0.1798,0.0696,3.466,-0.5784,19.3778
E02000036,249,1150.7,1236.5,36.28409197,0.167456208,0.42036675,515000,27.8,37.4,12.6,19.5,2.4,69.93066256,-0.142,16.2515,-1.115833333,0.1115,0.254333333,0.075,9.470666667,-0.018166667,19.151
E02000037,236.9,1222.5,1345.7,33.27173801,0.144267926,0.365054922,650000,32,33.3,20.2,12.1,2.2,64.87465181,-0.396833333,11.29116667,-1.395833333,0.0815,0.227,0.054833333,7.746166667,-0.363166667,23.24516667
E02000038,392.1,879.9,1611.6,35.39090736,0.173237301,0.345349058,550000,26.3,37.1,9.7,24.4,2.8,24.40333025,-0.46,15.81183333,-0.7475,0.105333333,0.233833333,0.073166667,6.907833333,0.479333333,23.96483333
E02000039,165.4,1033.7,1874.6,31.14606742,0.142259779,0.298576779,675000,34.2,38.7,4.1,21.8,4.1,65.11060692,-0.08875,10.53275,-1.51025,0.06925,0.172,0.046,3.459,0.06475,23.4935
E02000040,319.6,1112.1,1691.9,34.3198555,0.160716747,0.376962623,595000,28.9,27.5,24.9,14.6,3.7,34.02908068,-0.03325,15.75025,-1.22225,0.11425,0.23125,0.07275,8.1415,-0.22525,19.7955
E02000041,259.2,1056.6,1255.7,42.44694132,0.157004259,0.428101237,489640,29.1,31.3,11,26.6,3.3,16.3957323,-0.6556,18.5208,-0.9498,0.123,0.2578,0.078,9.7148,0.2386,28.06
