MSOA11CD,all_bame_prop
E02000297,0.249408475
E02000298,0.192828485
E02000299,0.592998282
E02000300,0.570307711
E02000301,0.582224429
E02000302,0.354311794
E02000303,0.552681764
E02000304,0.263567808
E02000305,0.27418047
E02000306,0.621597989
E02000307,0.483743543
E02000308,0.405894519
E02000309,0.613404519
E02000311,0.439424635
E02000312,0.344600401
E02000313,0.507310387
E02000314,0.610680644
E02000315,0.477202643
E02000316,0.468837209
E02000317,0.517084827
E02000318,0.649766308
E02000319,0.584267615
E02000320,0.443387681
E02000321,0.497916667
E02000323,0.609705827
E02000324,0.398906357
E02000326,0.323620934
E02000327,0.524102564
E02000328,0.183772328
E02000329,0.359223301
E02000331,0.352573107
E02000332,0.31462843
E02000333,0.153613016
E02000334,0.316741382
E02000335,0.115742862
E02000337,0.199215785
E02000339,0.110050251
E02000340,0.14848883
E02000341,0.235324743
E02000342,0.187044785
E02000343,0.198501873
E02000344,0.166118679
E02000345,0.291921249
E02000346,0.566152331
E02000347,0.313599799
E02000348,0.431280788
E02000350,0.404125447
E02000351,0.337439869
E02000352,0.331686764
E02000353,0.322630362
E02000354,0.542622606
E02000355,0.485680613
E02000356,0.286414375
E02000357,0.690802966
E02000358,0.451166576
E02000359,0.499012308
E02000360,0.595377258
E02000361,0.464921466
E02000362,0.512022631
E02000363,0.630152144
E02000364,0.367542574
E02000365,0.372610467
E02000366,0.412731971
E02000367,0.392464839
E02000368,0.538589557
E02000369,0.495687425
E02000370,0.475484881
E02000371,0.404883176
E02000372,0.500054496
E02000373,0.625863623
E02000374,0.387015302
E02000375,0.416761525
E02000376,0.390310918
E02000377,0.36259028
E02000378,0.306397306
E02000379,0.304577233
E02000380,0.266075388
E02000381,0.243820803
E02000382,0.311820983
E02000383,0.387828668
E02000384,0.363114754
E02000385,0.255761117
E02000386,0.424041298
E02000387,0.357142857
E02000388,0.262131188
E02000389,0.204482132
E02000390,0.243176179
E02000391,0.191357226
E02000392,0.231467947
E02000393,0.158514343
E02000394,0.326370084
E02000395,0.139304319
E02000396,0.246193276
E02000397,0.387715931
E02000398,0.616874912
E02000400,0.382237872
E02000401,0.500742501
E02000402,0.549051814
E02000403,0.376024448
E02000404,0.486534518
E02000405,0.190745266
E02000406,0.444412811
E02000407,0.584245077
E02000408,0.572254335
E02000409,0.544201011
E02000410,0.176453011
E02000411,0.576355341
E02000412,0.458779288
E02000413,0.207466667
E02000414,0.53339841
E02000415,0.41431702
E02000416,0.338718291
E02000417,0.167615339
E02000418,0.15828644
E02000419,0.360631475
E02000420,0.493675996
E02000421,0.56351427
E02000422,0.519616613
E02000423,0.384412153
E02000424,0.266740761
E02000425,0.346058434
E02000426,0.220769574
E02000427,0.33586227
E02000428,0.485901453
E02000429,0.172942207
E02000430,0.207091816
E02000431,0.170979806
E02000432,0.275023241
E02000433,0.398386677
E02000434,0.504890545
E02000435,0.47037436
E02000436,0.433586994
E02000437,0.481556643
E02000438,0.453855879
E02000439,0.619059225
E02000440,0.577489811
E02000441,0.446231755
E02000442,0.743625086
E02000443,0.631467793
E02000444,0.725497117
E02000445,0.631804878
E02000447,0.532728818
E02000448,0.302815841
E02000449,0.73270247
E02000451,0.536030534
E02000452,0.584935507
E02000453,0.569028871
E02000454,0.427562835
E02000455,0.595820529
E02000456,0.539311517
E02000457,0.572695597
E02000459,0.650030358
E02000460,0.689935563
E02000461,0.440909745
E02000462,0.67490953
E02000463,0.628781587
E02000464,0.110060456
E02000465,0.114375788
E02000466,0.124049716
E02000467,0.170278959
E02000468,0.111667952
E02000469,0.169951886
E02000470,0.091035882
E02000471,0.076438246
E02000472,0.108465903
E02000473,0.112119316
E02000474,0.131966918
E02000475,0.111352762
E02000476,0.205966247
E02000477,0.089209402
E02000478,0.25097706
E02000479,0.153798869
E02000480,0.2460439
E02000481,0.046965225
E02000482,0.059412133
E02000483,0.064880483
E02000484,0.097694841
E02000485,0.077385424
E02000486,0.088786316
E02000487,0.038123167
E02000488,0.068227695
E02000489,0.153094876
E02000490,0.124680634
E02000491,0.181962384
E02000492,0.090720663
E02000493,0.223188406
E02000494,0.397780452
E02000495,0.314261586
E02000496,0.124746587
E02000497,0.269081956
E02000498,0.140199336
