MSOA Code,areaName,Not United Kingdom (%),Owned: Owned outright (%),Owned: Owned with a mortgage or loan (%),Social rented (%),Private rented (%),Household spaces with no usual residents (%),population_density,population_prop_over65
E02000145,St Mary Cray East,14.40761811,19.3,31.1,36.4,10,2.7,49.73033708,0.178038861
E02000146,Bickley West,13.62325805,28.8,44.5,8.2,16.4,4.5,50.49874055,0.141061453
E02000147,Langley Park,13.77839127,46.7,39,3.7,9.8,2.5,8.086162574,0.123766718
E02000148,Bickley East,12.13363705,44.2,40.3,6.6,7.8,2.8,53.3481153,0.150976725
E02000149,St Mary Cray South,10.91074209,29,38.1,21,9.9,2.1,36.67555556,0.203102278
E02000150,Eden Park & Bethlem,12.77691294,35.3,46.3,9.2,8.2,2.3,24.04346277,0.218550896
E02000151,Petts Wood,10.45682598,48.8,42.6,1.6,5.8,1.7,43.54976051,0.156177441
E02000152,Bromley Common,13.83140596,25.7,35.5,31.3,5.4,6.1,28.2840429,0.166264506
E02000153,Hayes North,7.749838814,43.5,49.1,3.4,3.4,1.7,36.37963844,0.220217079
E02000154,Orpington West,12.95388868,38.3,37.7,9,13.4,3.2,31.10376992,0.134574535
E02000155,Orpington East,10.1230992,44.6,37.6,8.6,7.3,2.2,34.90213523,0.193346928
E02000156,West Wickham,9.781709939,44.7,40.6,5.1,8,2.8,40.82933845,0.19126453
E02000157,Crofton,9.279256655,51.7,38.9,1.9,6.3,2.5,38.13979086,0.245310245
E02000158,Goddington,11.62411733,40.6,31.1,22.4,4.6,1.6,31.79026802,0.228861423
E02000159,Keston,10.24662361,48.4,39.7,2.4,8.1,4.8,33.53349673,0.233280546
E02000160,Hayes South & Coney Hall,8.146639511,42.3,44.5,2.7,9.4,2.5,36.38593244,0.20259443
E02000161,Orpington South,11.12960761,44.9,45.7,2.3,6.3,1.7,11.82466871,0.237787356
E02000162,Farnborough,9.651875093,41.3,32.8,17.8,7.1,2.6,9.490483509,0.205281515
E02000163,Chelsfield & Green Street Green,7.803921569,43.4,41.1,6.6,7.3,2.1,51.12274578,0.192535275
E02000165,Biggin Hill West,5.308729595,34.1,53.7,4.8,5.6,2,5.488244514,0.251320862
E02006782,Plaistow (Bromley),17.28556485,33.2,36.6,20.5,8,4.8,108.9445438,0.101642036
E02006787,Elmers End,13.64234922,32.7,45.7,9.3,10.6,2.4,150.0672043,0.086699507
E02006789,Biggin Hill East & Cudham,5.398257623,47.5,37,4.4,8.7,5,160.4214559,0.085980416
E02000166,Highgate West,28.02877335,25.3,19.8,36,16.1,4.2,6.82851331,0.226136511
E02000167,Hampstead Town,38.10422961,37.1,18.5,8.4,33.4,6.9,12.32250088,0.177010176
E02000168,Tufnell Park West,28.04698972,21,21,29.3,26.7,2.4,30.96538462,0.179977643
E02000169,Frognal,44.80817075,34.6,20.9,7.4,34,7.4,54.03183024,0.149484536
E02000170,Fortune Green,42.15639242,21.2,23.4,11.3,42.2,4.9,2.89433794,0.272181146
E02000171,Mansfield Road & Park Hill Road,34.82987976,22,21.3,25.9,28.3,3.5,30.82010582,0.193347639
E02000172,Kentish Town West,35.00542032,9.7,12.1,58.9,16.6,1.6,46.53531956,0.182672449
E02000173,Fitzjohns & Royal Free,51.88273616,24.5,15,14.7,43.1,5.1,142.246696,0.135645711
E02000174,Kentish Town East,36.65366078,13.7,17,41.4,25.9,1.9,87.00801425,0.158428001
E02000175,West Hampstead,44.02124774,15.2,17.4,20.3,45.3,3.6,129.6108949,0.119283498
E02000176,Belsize Park,48.98791778,26.8,19,8.8,43.3,5.5,182.5911708,0.143698097
E02000177,Chalk Farm,35.60572195,12.3,13.9,49.1,23.1,2.9,185.3811659,0.10845025
E02000178,Kilburn Grange,45.37653833,10.1,16.8,32.7,38.7,2.2,131.322208,0.12170088
E02000179,Adelaide Road,43.54558382,21.3,15.2,31.9,30,5.2,191.7032967,0.107958345
E02000180,Camden Road South,37.58839307,13,16.1,38.2,31.1,4.2,169.0895954,0.097513033
E02000181,South Hampstead,45.62791905,20.3,22.2,15.4,40.7,3,199.4974874,0.137783375
E02000182,Swiss Cottage,55.11423025,23.6,14.6,18.3,39.1,8.1,199.5801527,0.133199465
E02000183,Primrose Hill,37.22987489,22.9,16.1,29.1,29.7,7.6,189.911032,0.097442144
E02000184,Camden Street & Elm Village,41.67980185,8.6,11.7,45.8,29.7,2.4,198.3289817,0.143891522
E02000185,Kilburn East,48.82991556,9.3,11.4,45.5,30.7,5.2,209.5051546,0.094282059
E02000186,Camden Town & Mornington Crescent,44.83325856,16,11.7,27.9,41,9.7,175.3419593,0.104575163
E02000187,Somers Town,42.39117106,5.1,6.9,69.5,16.4,2.1,113.7092732,0.129931673
E02000188,Euston,45.1333814,6.8,6.9,61.7,22.7,2.5,115.0906736,0.164096792
E02000189,Gray's Inn Road,50.58882907,6.4,6.2,55.9,28.2,4.1,162.6917293,0.076254737
E02000190,Bloomsbury East,49.65471448,12.4,8.5,43.7,32.6,7.4,215.9110169,0.136885487
E02000191,Fitzrovia East & Bloomsbury West,54.19501134,15.1,9.9,23.1,48.4,12,84.74576271,0.101411765
E02000192,Hatton Garden & Theobalds Road,42.39206371,9.4,10.7,50.6,27.2,4.7,119.8140496,0.093981721
E02000193,"Holborn, St Giles & Bloomsbury South",48.44036697,16.1,12.7,27.9,39.5,11.5,178.3464567,0.094370861
E02000194,Crystal Palace Triangle,29.00183993,17.8,29.5,24.4,26,2.2,242.5167785,0.081915041
E02000195,Upper Norwood,37.15034965,32,39.6,7.7,18,2.5,241.8867925,0.108090038
E02000196,Norbury East,42.59084155,25.7,32.9,17.5,21.2,2.1,138.3956386,0.079234665
E02000197,Norbury West,44.33692545,22.5,31,18.5,25.2,2.6,208.2407407,0.113494887
E02000198,Thornton Heath North West,35.66294919,16.2,33.2,21.5,26.7,2.7,80.23875115,0.124628061
E02000199,Thornton Heath North East,35.49228944,21.2,43.7,11.1,22.1,2.3,68.18247126,0.110104309
E02000200,South Norwood Hill,32.99975886,17.5,35.9,12.4,32.2,2.7,50.96541043,0.154781199
E02000201,South Norwood Central,33.65535563,11.2,26.5,29.5,30.8,3.5,65.70146819,0.144009932
E02000202,Thornton Heath West,47.35610669,28,39.6,5.5,25.1,2.5,97.09969789,0.137419622
E02000203,Thornton Heath Central,44.75394615,16.3,29.5,22.4,28.7,2.3,98.17264574,0.094438735
E02000204,West Thornton North,47.37961093,26.8,35.9,8.5,25.9,2.4,96.66280417,0.103212659
E02000206,Selhurst North,35.94716427,12.6,29.7,26.2,28.3,4.7,71.25902165,0.115912672
E02000207,Woodside & Ashburton,26.93632626,15.2,32.7,28,20.4,1.8,107.9627474,0.086047013
E02000208,University Hospital & Queen's Road,45.43411645,9.7,24.9,29.1,29.7,2.3,115.414966,0.137097725
E02000209,West Thornton South & Ampere Way,46.03042548,18.5,38.2,17.3,24.4,1.6,104.7286822,0.117320503
E02000210,Addiscombe North,26.811071,21.4,44.2,11.2,20.5,2.3,89.33762649,0.126042632
E02000211,Monks Orchard,17.75,38.5,46.2,6.1,8.4,2.1,69.97946612,0.110426448
E02000212,Broad Green & Waddon Marsh,47.77660448,15.7,29.9,24.9,26.5,2.1,73.634166,0.098818122
E02000213,Selhurst South & West Croydon,45.16804523,9.3,18.8,28.9,39.8,4,125.0742857,0.07556652
E02000214,Addiscombe East,22.57857601,37.7,42.2,5.6,12.1,2.1,87.54735793,0.093611206
E02000215,Addiscombe West,39.68435064,15.8,26.7,16,39,3.7,109.083871,0.105157322
E02000216,Park Hill & Lloyd Park,43.85574354,32,23.3,11.6,31.8,3.9,48.08104887,0.226450174
E02000217,Croydon Minster & Waddon North,34.42402973,13.9,31.4,22.3,28.9,3.8,75.41867955,0.078039927
E02000218,Shirley East,23.70481928,27.4,30.8,34.9,5.9,0.6,111.299709,0.068061002
E02000219,Shirley West,17.5253708,47.4,41.3,2.8,6.8,1.9,60.30067895,0.181437993
E02000220,Central Croydon,36.80801538,12.7,21.9,15.6,44.8,6.7,117.4062817,0.111235761
E02000221,Waddon South,29.63340122,18.1,30.3,32.7,15.8,2.3,32.44627343,0.196871477
E02000222,Croham,23.67253833,24.4,36.1,9.7,27.4,3.4,86.58979734,0.068275361
E02000223,New Addington North,20.69047903,10.9,16.8,66.6,4.7,1.7,58.04920914,0.153648199
E02000224,Purley North,23.28214472,21.7,40.2,7.4,28.2,2.8,13.0705903,0.275395336
E02000225,New Addington Central,14.01459854,23.3,32.3,37.4,5.6,1.1,89.51871658,0.080271804
E02000226,Selsdon,18.25175753,46,44.6,1.1,7.2,1.4,38.41767641,0.116233766
E02000227,Forestdale,14.03908509,31.6,43.1,10.5,13.5,1,44.80386889,0.126649077
E02000228,Sanderstead,15.45538178,48.2,40.3,2.6,8,1.9,89.24116424,0.093302271
E02000229,New Addington South,14.55914653,15.9,24.5,48.9,8.7,1.6,63.16939891,0.119500741
E02000230,Purley Central,23.94225983,31.8,39,6.9,19.5,2.8,46.16186389,0.138663833
E02000231,Woodcote,21.89980481,42.2,45.7,1.6,9.9,1.9,22.93418647,0.22864355
E02000232,Selsdon Park & Hamsey Green,11.51925246,41,42.1,10.5,5.5,1.3,24.90652174,0.179802741
E02000233,Kenley North,18.33740831,27.4,46.2,13.9,11.4,2.1,24.8658147,0.246177566
E02000234,Coulsdon,18.62146329,29.4,39.4,12.9,14.8,2.5,50.97727273,0.133303611
E02000235,Kenley South,14.86796785,35.1,44.8,10.5,7.5,2.2,40.6042065,0.178093803
E02000236,Woodmansterne,11.71171171,37.7,50.1,5,6.6,1.4,22.54831995,0.222998813
E02000237,Old Coulsdon,10.72909699,39.8,40.8,13.1,5.2,1.8,14.33768016,0.23184937
E02006788,South Norwood Park,24.89361702,15.9,38.1,33.2,11.5,1.6,97.25028058,0.125793422
E02000238,Whitton Avenue West,48.6,23.7,39,12,23,2.5,40.18903592,0.158984008
E02000239,Horsenden,54.74444444,34.5,35.9,3.2,24.7,2.2,28.7624558,0.161712114
E02000240,Northolt West,42.81539211,18.9,29.3,32.3,15.8,2.2,12.90956264,0.186046512
E02000241,Northolt East,46.49796656,28.2,38.4,6.6,24.7,2.6,22.75804196,0.171951819
E02000242,Bilton Road,58.62782789,28.2,35.5,4.7,29.8,2.3,15.33131313,0.242456187
E02000243,Greenford North,50.51122341,23.4,31.2,17.4,25.5,2.5,54.3974175,0.108795991
E02000244,Perivale,54.85220301,28.6,34.6,7.1,26.8,2.7,61.48391333,0.120354549
E02000245,Northolt South,42.98675821,11.2,23.8,40.7,20.2,1.4,37.22717622,0.15592563
E02000246,Kingshill Avenue,39.59762231,18.3,29.4,33.1,16.9,1.8,58.10763889,0.121601434
E02000247,Greenford West,47.27396197,17.4,30.4,24.3,23.5,2.8,51.41762452,0.130849478
E02000248,Hanger Hill East,59.85819471,25.6,22.2,3.6,44,3.2,76.76040495,0.132473623
E02000249,Greenford South,51.1203212,26.1,27.5,16,25.6,3.5,29.56078707,0.149768216
E02000250,Pitshanger,33.22028673,36.6,36,4.1,21.3,1.8,41.84752365,0.143351064
E02000251,Greenford Ravenor Park,55.40030211,31,39.1,5,22.6,2.6,50.20543807,0.106511012
E02000252,North Acton,54.99690913,15.7,17.1,23.9,35.8,3.5,41.54107924,0.120304272
E02000253,Cuckoo Park,43.43853821,16.8,25.5,41.2,13.9,2,75.26466381,0.138186657
E02000254,Southall North,56.02860655,32.8,36.1,8.3,20.8,3.1,44.806022,0.12483846
E02000255,Drayton Green & Cleveland,40.32752245,26,29.6,20.2,22.4,2.5,58.05164319,0.15258121
E02000256,Ealing Broadway West,43.44882067,24,23,9.2,40.2,3.7,62.3747495,0.197108434
E02000257,Ealing Broadway East,49.35968614,22.2,19.5,11,45.3,3.8,77.76955603,0.148294142
E02000258,Acton Noel Road & Lynton Road,49.52451709,20.6,24.5,16.2,36.4,3.6,36.50187735,0.084776273
E02000259,Brent Valley,39.26067559,27.8,36.3,8.8,25.6,2.2,80.07785467,0.151344928
E02000260,Southall Park,60.57405281,30.1,26.8,16,24,7.1,80.54755043,0.149672033
E02000261,East Acton,53.00947427,18.1,19.8,23.6,30.8,4.2,58.96061975,0.163363626
E02000262,Acton Central,48.16806723,13.7,23.4,25,35.2,3.5,81.06751825,0.124817107
E02000263,Southall West,64.04571625,30,26.9,15.1,24,6.2,67.04264099,0.129257284
E02000264,Ealing Common & Twyford Ave,48.25373319,24.4,24,10.1,39,4.2,68.05421104,0.118349929
E02000265,West Ealing,44.02374314,14.6,26.3,26.4,28.6,3.1,46.82316119,0.138536096
E02000266,Norwood Green North & Windmill Park,49.24985808,15.4,17.8,46.6,14.4,2.9,86.7679558,0.155789027
E02000267,Hanwell,38.391568,20.7,35.3,11.5,28.9,3.5,92.72030651,0.101983471
E02000268,St Mary's,38.15986322,23.2,28.6,16.8,29,2.4,124.427157,0.112765716
E02000269,Northfields,34.2163902,28.5,35,5.2,29.5,2.9,97.57894737,0.133847813
E02000270,South Acton,50.91383812,9.5,15.1,49,21.1,2.5,58.81697982,0.146355892
